,Date,Stock Code,Lost_Qty,Lost_Profit
0,2015-01-08,EGG-CHI,3,191.8847087096333
1,2015-01-11,BAK-BRE,53,623.6711943408812
2,2015-01-11,EGG-FIS,2,192.84657052522905
3,2015-01-11,EGG-MUT,7,1475.0474027072758
4,2015-01-12,FRU-FRE,56,936.491666756277
5,2015-01-12,BAK-BRE,27,317.7192876830905
6,2015-01-13,BAK-CAK,3,253.6400051359039
7,2015-01-13,EGG-CHI,8,511.6925565590221
8,2015-01-19,BAK-BRE,49,576.6016702396827
9,2015-01-19,FRU-ORG,7,208.49926430570028
10,2015-01-20,BAK-CAK,9,760.9200154077117
11,2015-01-20,BAK-BRE,40,470.6952410119859
12,2015-01-20,FRU-ORG,13,387.2129194248719
13,2015-01-20,EGG-MUT,3,632.1631725888325
14,2015-01-30,FRU-FRE,47,785.9840774561611
15,2015-01-30,FRU-ORG,32,953.1394939689155
16,2015-02-03,EGG-FIS,5,482.1164263130726
17,2015-02-06,BAK-BRE,46,541.2995271637838
18,2015-02-08,FRU-FRE,30,501.69196433371985
19,2015-02-09,BAK-CAK,3,253.6400051359039
20,2015-02-09,EGG-CHI,6,383.7694174192666
21,2015-02-10,FRU-FRE,17,284.29211312244126
22,2015-02-10,FRU-ORG,28,833.9970572228011
23,2015-02-10,EGG-MUT,4,842.8842301184433
24,2015-02-11,FRU-FRE,20,334.4613095558133
25,2015-02-11,BAK-BRE,19,223.5802394806933
26,2015-02-11,FRU-ORG,20,595.7121837305722
27,2015-02-12,FRU-FRE,74,1237.506845356509
28,2015-02-12,BAK-BRE,52,611.9038133155816
29,2015-02-14,EGG-FIS,2,192.84657052522905
30,2015-02-20,FRU-ORG,12,357.42731023834335
31,2015-03-01,BAK-BRE,19,223.5802394806933
32,2015-03-03,FRU-FRE,34,568.5842262448825
33,2015-03-03,EGG-CHI,6,383.7694174192666
34,2015-03-03,EGG-EGG,6,110.43448398673144
35,2015-03-03,EGG-MUT,5,1053.6052876480542
36,2015-03-04,EGG-EGG,30,552.1724199336571
37,2015-03-05,EGG-MUT,1,210.72105752961082
38,2015-03-08,BAK-CAK,8,676.3733470290771
39,2015-03-09,BAK-CAK,5,422.7333418931732
40,2015-03-10,FRU-FRE,8,133.7845238223253
41,2015-03-10,EGG-CHI,24,1535.0776696770663
42,2015-03-11,BAK-BRE,80,941.3904820239718
43,2015-03-12,BAK-BRE,42,494.2300030625852
44,2015-03-14,FRU-FRE,30,501.69196433371985
45,2015-03-14,EGG-CHI,7,447.7309869891443
46,2015-03-14,EGG-FIS,4,385.6931410504581
47,2015-03-17,BAK-CAK,7,591.8266786504424
48,2015-03-17,EGG-CHI,2,127.92313913975552
49,2015-03-17,FRU-ORG,25,744.6402296632152
50,2015-03-17,EGG-FIS,7,674.9629968383017
51,2015-03-17,BAK-BIS,38,287.1799824202519
52,2015-03-17,EGG-MUT,1,210.72105752961082
53,2015-03-18,BAK-CAK,4,338.18667351453854
54,2015-03-18,FRU-ORG,8,238.28487349222888
55,2015-03-19,FRU-FRE,20,334.4613095558133
56,2015-03-19,BAK-CAK,9,760.9200154077117
57,2015-03-19,BAK-BIS,17,128.4752552932706
58,2015-03-21,FRU-FRE,34,568.5842262448825
59,2015-03-21,SNA-CHO,19,502.4199652409126
60,2015-03-21,BAK-BRE,75,882.5535768974736
61,2015-03-22,FRU-FRE,16,267.5690476446506
62,2015-03-22,BAK-CAK,4,338.18667351453854
63,2015-03-23,BEV-SOF,44,447.72059385391356
64,2015-03-24,EGG-MUT,2,421.44211505922163
65,2015-03-26,FRU-FRE,5,83.61532738895332
66,2015-03-28,FRU-FRE,23,384.6305059891852
67,2015-03-28,EGG-CHI,4,255.84627827951104
68,2015-03-30,BAK-CAK,7,591.8266786504424
69,2015-03-31,FRU-FRE,9,150.50758930011597
70,2015-03-31,OIL-MAS,1,92.05647701326751
71,2015-04-01,BAK-CAK,6,507.2800102718078
72,2015-04-02,BAK-BRE,11,129.44119127829612
73,2015-04-04,OIL-MAS,5,460.28238506633755
74,2015-04-04,FRU-ORG,10,297.8560918652861
75,2015-04-05,OIL-MAS,5,460.28238506633755
76,2015-04-05,EGG-FIS,2,192.84657052522905
77,2015-04-06,BAK-CAK,7,591.8266786504424
78,2015-04-06,BAK-BRE,18,211.81285845539364
79,2015-04-07,FOO-ATT,50,543.7320770579148
80,2015-04-08,EGG-CHI,4,255.84627827951104
81,2015-04-08,FRU-ORG,14,416.99852861140056
82,2015-04-08,EGG-MUT,2,421.44211505922163
83,2015-04-11,FRU-FRE,58,969.9377977118584
84,2015-04-11,BAK-CAK,8,676.3733470290771
85,2015-04-11,BAK-BRE,24,282.4171446071915
86,2015-04-11,EGG-MUT,2,421.44211505922163
87,2015-04-13,EGG-CHI,4,255.84627827951104
88,2015-04-13,FRU-ORG,22,655.2834021036294
89,2015-04-13,EGG-FIS,5,482.1164263130726
90,2015-04-15,EGG-MUT,3,632.1631725888325
91,2015-04-18,BAK-CAK,4,338.18667351453854
92,2015-04-18,EGG-EGG,33,607.3896619270229
93,2015-04-19,BAK-BRE,87,1023.7621492010693
94,2015-04-20,FRU-ORG,11,327.6417010518147
95,2015-04-25,EGG-CHI,12,767.5388348385331
96,2015-04-25,EGG-FIS,5,482.1164263130726
97,2015-04-29,EGG-CHI,5,319.8078478493888
98,2015-05-01,EGG-FIS,2,192.84657052522905
99,2015-05-03,EGG-MUT,2,421.44211505922163
100,2015-05-04,FRU-ORG,8,238.28487349222888
101,2015-05-04,EGG-FIS,5,482.1164263130726
102,2015-05-04,FOO-ORG,5,148.98699210103678
103,2015-05-05,EGG-FIS,3,289.2698557878436
104,2015-05-07,BAK-CAK,7,591.8266786504424
105,2015-05-08,FRU-FRE,17,284.29211312244126
106,2015-05-08,EGG-EGG,34,625.7954092581448
107,2015-05-10,BAK-BRE,23,270.6497635818919
108,2015-05-11,FRU-FRE,44,735.8148810227891
109,2015-05-11,BAK-CAK,6,507.2800102718078
110,2015-05-11,EGG-FIS,11,1060.6561378887598
111,2015-05-12,FRU-FRE,50,836.1532738895331
112,2015-05-12,BAK-CAK,4,338.18667351453854
113,2015-05-12,EGG-MUT,2,421.44211505922163
114,2015-05-13,EGG-MUT,4,842.8842301184433
115,2015-05-20,FRU-ORG,30,893.5682755958583
116,2015-05-21,EGG-CHI,5,319.8078478493888
117,2015-05-21,BAK-BRE,11,129.44119127829612
118,2015-05-21,FOO-ORG,1,29.797398420207358
