,Stock Code,Product Code,Manufacturing Date,Expiry Date,Initial_Qty,Remaining_Qty,Arrival Date,Shelf Life,Lead Time
0,BEV-SOF,1,2014-11-21,2015-05-20,944,0,2015-01-02,,
1,BEV-SOF,2,2015-01-27,2015-07-26,56,0,2015-03-10,180.0,42.0
2,BEV-SOF,3,2015-02-14,2015-08-13,480,0,2015-03-28,180.0,42.0
3,BEV-SOF,4,2015-03-24,2015-09-20,323,0,2015-05-05,180.0,42.0
4,BEV-SOF,5,2015-05-11,2015-11-07,172,0,2015-06-22,180.0,42.0
5,BEV-SOF,6,2015-06-06,2015-12-03,611,0,2015-07-18,180.0,42.0
6,BEV-SOF,7,2015-07-21,2016-01-17,21,0,2015-09-01,180.0,42.0
7,BEV-SOF,8,2015-08-11,2016-02-07,431,0,2015-09-22,180.0,42.0
8,BEV-SOF,9,2015-09-15,2016-03-13,292,0,2015-10-27,180.0,42.0
9,BEV-SOF,10,2015-10-11,2016-04-08,342,0,2015-11-22,180.0,42.0
10,BEV-SOF,11,2015-10-21,2016-04-18,475,0,2015-12-02,180.0,42.0
11,BEV-SOF,12,2015-11-16,2016-05-14,350,0,2015-12-28,180.0,42.0
12,BEV-SOF,13,2015-12-09,2016-06-06,211,0,2016-01-20,180.0,42.0
13,BEV-SOF,14,2016-01-11,2016-07-09,194,0,2016-02-22,180.0,42.0
14,BEV-SOF,15,2016-02-03,2016-08-01,264,0,2016-03-16,180.0,42.0
15,BEV-SOF,16,2016-02-23,2016-08-21,299,0,2016-04-05,180.0,42.0
16,BEV-SOF,17,2016-03-08,2016-09-04,309,0,2016-04-19,180.0,42.0
17,BEV-SOF,18,2016-04-09,2016-10-06,174,0,2016-05-21,180.0,42.0
18,BEV-SOF,19,2016-04-20,2016-10-17,455,0,2016-06-01,180.0,42.0
19,BEV-SOF,20,2016-05-21,2016-11-17,251,0,2016-07-02,180.0,42.0
20,BEV-SOF,21,2016-06-19,2016-12-16,290,0,2016-07-31,180.0,42.0
21,BEV-SOF,22,2016-07-07,2017-01-03,273,0,2016-08-18,180.0,42.0
22,BEV-SOF,23,2016-08-04,2017-01-31,446,0,2016-09-15,180.0,42.0
23,BEV-SOF,24,2016-08-17,2017-02-13,355,0,2016-09-28,180.0,42.0
24,BEV-SOF,25,2016-09-18,2017-03-17,366,0,2016-10-30,180.0,42.0
25,BEV-SOF,26,2016-10-10,2017-04-08,711,0,2016-11-21,180.0,42.0
26,BEV-SOF,27,2016-11-07,2017-05-06,2,0,2016-12-19,180.0,42.0
27,BEV-SOF,28,2016-11-26,2017-05-25,373,0,2017-01-07,180.0,42.0
28,BEV-SOF,29,2016-12-21,2017-06-19,299,0,2017-02-01,180.0,42.0
29,BEV-SOF,30,2017-01-29,2017-07-28,227,0,2017-03-12,180.0,42.0
30,BEV-SOF,31,2017-02-26,2017-08-25,379,0,2017-04-09,180.0,42.0
31,BEV-SOF,32,2017-03-11,2017-09-07,295,0,2017-04-22,180.0,42.0
32,BEV-SOF,33,2017-04-04,2017-10-01,573,0,2017-05-16,180.0,42.0
33,BEV-SOF,34,2017-04-22,2017-10-19,233,0,2017-06-03,180.0,42.0
34,BEV-SOF,35,2017-05-20,2017-11-16,484,0,2017-07-01,180.0,42.0
35,BEV-SOF,36,2017-06-11,2017-12-08,521,0,2017-07-23,180.0,42.0
36,BEV-SOF,37,2017-07-08,2018-01-04,120,0,2017-08-19,180.0,42.0
37,BEV-SOF,38,2017-07-23,2018-01-19,629,0,2017-09-03,180.0,42.0
38,BEV-SOF,39,2017-08-11,2018-02-07,359,0,2017-09-22,180.0,42.0
39,BEV-SOF,40,2017-09-10,2018-03-09,333,0,2017-10-22,180.0,42.0
40,BEV-SOF,41,2017-10-02,2018-03-31,141,0,2017-11-13,180.0,42.0
41,BEV-SOF,42,2017-10-13,2018-04-11,421,0,2017-11-24,180.0,42.0
42,BEV-SOF,43,2017-10-28,2018-04-26,310,0,2017-12-09,180.0,42.0
43,BEV-SOF,44,2017-11-13,2018-05-12,583,0,2017-12-25,180.0,42.0
44,BEV-SOF,45,2017-12-08,2018-06-06,388,0,2018-01-19,180.0,42.0
45,BEV-SOF,46,2017-12-29,2018-06-27,147,0,2018-02-09,180.0,42.0
46,BEV-SOF,47,2018-01-07,2018-07-06,454,0,2018-02-18,180.0,42.0
47,BEV-SOF,48,2018-01-29,2018-07-28,283,0,2018-03-12,180.0,42.0
48,BEV-SOF,49,2018-02-16,2018-08-15,209,0,2018-03-30,180.0,42.0
49,BEV-SOF,50,2018-03-07,2018-09-03,337,0,2018-04-18,180.0,42.0
50,BEV-SOF,51,2018-03-20,2018-09-16,364,0,2018-05-01,180.0,42.0
51,BEV-SOF,52,2018-04-13,2018-10-10,310,0,2018-05-25,180.0,42.0
52,BEV-SOF,53,2018-04-29,2018-10-26,245,0,2018-06-10,180.0,42.0
53,BEV-SOF,54,2018-05-12,2018-11-08,615,0,2018-06-23,180.0,42.0
54,BEV-SOF,55,2018-06-03,2018-11-30,144,0,2018-07-15,180.0,42.0
55,BEV-SOF,56,2018-06-18,2018-12-15,554,0,2018-07-30,180.0,42.0
56,BEV-SOF,57,2018-07-13,2019-01-09,319,0,2018-08-24,180.0,42.0
57,BEV-SOF,58,2018-08-05,2019-02-01,522,0,2018-09-16,180.0,42.0
58,BEV-SOF,59,2018-08-20,2019-02-16,398,0,2018-10-01,180.0,42.0
59,BEV-SOF,60,2018-09-06,2019-03-05,374,0,2018-10-18,180.0,42.0
60,BEV-SOF,61,2018-09-17,2019-03-16,311,0,2018-10-29,180.0,42.0
61,BEV-SOF,62,2018-10-07,2019-04-05,258,0,2018-11-18,180.0,42.0
62,BEV-SOF,63,2018-10-15,2019-04-13,495,0,2018-11-26,180.0,42.0
63,BEV-SOF,64,2018-11-06,2019-05-05,411,0,2018-12-18,180.0,42.0
64,BEV-HEA,1,2014-09-26,2015-09-26,72,0,2015-01-03,,
65,BEV-HEA,2,2014-12-12,2015-12-12,14,0,2015-03-21,365.0,99.0
66,BEV-HEA,3,2014-12-26,2015-12-26,60,0,2015-04-04,365.0,99.0
67,BEV-HEA,4,2015-01-31,2016-01-31,20,0,2015-05-10,365.0,99.0
68,BEV-HEA,5,2015-03-06,2016-03-05,36,0,2015-06-13,365.0,99.0
69,BEV-HEA,6,2015-04-02,2016-04-01,37,0,2015-07-10,365.0,99.0
70,BEV-HEA,7,2015-05-04,2016-05-03,52,0,2015-08-11,365.0,99.0
71,BEV-HEA,8,2015-06-14,2016-06-13,39,0,2015-09-21,365.0,99.0
72,BEV-HEA,9,2015-07-18,2016-07-17,34,0,2015-10-25,365.0,99.0
73,BEV-HEA,10,2015-08-16,2016-08-15,72,0,2015-11-23,365.0,99.0
74,BEV-HEA,11,2015-09-19,2016-09-18,11,0,2015-12-27,365.0,99.0
75,BEV-HEA,12,2015-11-08,2016-11-07,40,0,2016-02-15,365.0,99.0
76,BEV-HEA,13,2015-12-23,2016-12-22,26,0,2016-03-31,365.0,99.0
77,BEV-HEA,14,2016-01-29,2017-01-28,48,0,2016-05-07,365.0,99.0
78,BEV-HEA,15,2016-02-28,2017-02-27,8,0,2016-06-06,365.0,99.0
79,BEV-HEA,16,2016-03-28,2017-03-28,36,0,2016-07-05,365.0,99.0
80,BEV-HEA,17,2016-04-19,2017-04-19,31,0,2016-07-27,365.0,99.0
81,BEV-HEA,18,2016-05-16,2017-05-16,26,0,2016-08-23,365.0,99.0
82,BEV-HEA,19,2016-06-06,2017-06-06,30,0,2016-09-13,365.0,99.0
83,BEV-HEA,20,2016-07-23,2017-07-23,34,0,2016-10-30,365.0,99.0
84,BEV-HEA,21,2016-08-16,2017-08-16,50,0,2016-11-23,365.0,99.0
85,BEV-HEA,22,2016-09-17,2017-09-17,23,0,2016-12-25,365.0,99.0
86,BEV-HEA,23,2016-10-10,2017-10-10,29,0,2017-01-17,365.0,99.0
87,BEV-HEA,24,2016-11-14,2017-11-14,52,0,2017-02-21,365.0,99.0
88,BEV-HEA,25,2017-01-04,2018-01-04,31,0,2017-04-13,365.0,99.0
89,BEV-HEA,26,2017-02-06,2018-02-06,34,0,2017-05-16,365.0,99.0
90,BEV-HEA,27,2017-02-25,2018-02-25,37,0,2017-06-04,365.0,99.0
