,Stock Code,Order ID,Category,Sub Category,City,Region,Sales,Discount,Profit,Day of week,IsWeekend,Weather,Unit Cost,Units Sold,Date,Week,Rolling_avg_4weeks,Product Code
0,BAK-BIS,OD245,Bakery,Biscuits,Coimbatore,Central,817,0.15,326.8,1,0,Pleasant,30,27,2015-01-06,2015-01-11,101.0,1
1,BAK-BIS,OD5672,Bakery,Biscuits,Vellore,East,2234,0.28,357.44,6,1,Pleasant,30,74,2015-01-11,2015-01-11,101.0,1
2,BAK-BIS,OD4879,Bakery,Biscuits,Ooty,South,1883,0.1,301.28,3,0,Cloudy,30,62,2015-01-15,2015-01-18,62.0,1
3,BAK-BIS,OD7559,Bakery,Biscuits,Cumbum,South,1973,0.32,789.2,1,0,Pleasant,30,65,2015-01-20,2015-01-25,118.0,1
4,BAK-BIS,OD4553,Bakery,Biscuits,Pudukottai,West,1604,0.14,529.32,4,0,Pleasant,30,53,2015-01-23,2015-01-25,118.0,1
5,BAK-BIS,OD4294,Bakery,Biscuits,Ooty,West,2370,0.13,971.7,1,0,Pleasant,30,79,2015-01-27,2015-02-01,90.0,1
6,BAK-BIS,OD2489,Bakery,Biscuits,Coimbatore,East,2463,0.13,714.27,3,0,Pleasant,30,82,2015-02-05,2015-02-08,85.25,1
7,BAK-BIS,OD2081,Bakery,Biscuits,Karur,East,2122,0.22,212.2,0,0,Cloudy,30,70,2015-02-09,2015-02-15,121.25,1
8,BAK-BIS,OD7252,Bakery,Biscuits,Dharmapuri,East,910,0.11,154.7,3,0,Cloudy,30,30,2015-02-12,2015-02-15,121.25,1
9,BAK-BIS,OD7649,Bakery,Biscuits,Tenkasi,West,1809,0.32,253.26,5,1,Cloudy,30,60,2015-02-14,2015-02-15,121.25,1
10,BAK-BIS,OD7603,Bakery,Biscuits,Ooty,West,1392,0.12,431.52,5,1,Pleasant,30,46,2015-02-14,2015-02-15,121.25,2
11,BAK-BIS,OD3891,Bakery,Biscuits,Virudhunagar,East,994,0.18,347.9,3,0,Cloudy,30,33,2015-03-05,2015-03-08,59.75,2
12,BAK-BIS,OD5856,Bakery,Biscuits,Pudukottai,West,853,0.25,93.83,1,0,Cloudy,30,28,2015-03-10,2015-03-15,97.0,2
13,BAK-BIS,OD3361,Bakery,Biscuits,Viluppuram,Central,2282,0.3,1004.08,1,0,Cloudy,30,76,2015-03-10,2015-03-15,97.0,2
14,BAK-BIS,OD4156,Bakery,Biscuits,Madurai,South,1259,0.13,302.16,2,0,Cloudy,30,41,2015-03-11,2015-03-15,97.0,2
15,BAK-BIS,OD1794,Bakery,Biscuits,Karur,South,2101,0.25,819.39,2,0,Sunny,30,70,2015-03-11,2015-03-15,97.0,2
16,BAK-BIS,OD4647,Bakery,Biscuits,Krishnagiri,West,2233,0.18,334.95,5,1,Cloudy,30,74,2015-03-14,2015-03-15,97.0,2
17,BAK-BIS,OD9473,Bakery,Biscuits,Dharmapuri,South,1985,0.22,794.0,5,1,Cloudy,30,66,2015-03-14,2015-03-15,97.0,2
